-11.7073,55.8771,-48.9888,-27.8583,55.5348,-17.5560,37.9454,-83.9664,10.6728,-29.6061
29.6300,-87.2132,-15.1600,66.7521,-90.3367,61.0923,-23.9115,-0.0454,-63.6303,51.9469
68.0513,-83.9082,86.3753,65.1933,-7.2150,-88.0742,49.2236,46.4386,-38.2908,85.8202
-4.3991,83.2073,22.7647,-66.9633,96.2393,71.2047,13.5512,35.2553,71.5844,-55.3041
-36.1130,-85.5703,85.8209,11.1636,15.1116,-32.8706,87.7436,-93.4968,-75.1265,91.5463
10.9949,86.0668,55.6134,57.4418,-62.0048,46.1146,41.0263,51.0039,82.7304,29.2437
-91.3584,12.0568,-17.3267,-16.5146,-42.1121,36.0542,-85.4344,48.6505,-53.0658,40.3938
77.3023,2.9782,80.3042,40.8101,83.5681,-22.7257,60.0013,-29.1474,-4.8411,92.0381
-30.9408,40.3175,-93.6066,-5.4460,92.9998,48.6483,21.7387,48.6380,-80.0747,-64.6496
-96.0374,-57.7601,87.0634,-41.9475,68.2322,-15.3468,96.9743,53.5526,-56.7765,-70.4490
66.2531,-61.3696,-27.6176,1.7181,-72.8067,-33.3743,2.2336,85.1022,16.3172,-7.2149
61.2216,71.8107,-43.8955,-44.8857,-81.4471,-39.7544,-85.0431,-94.6282,-94.1394,-78.5147
72.6264,4.0441,-30.8677,68.5881,-73.7665,-21.9636,-90.3650,-25.0534,5.6267,-47.3788
91.7223,58.2756,14.0623,-26.8946,8.9433,27.9259,90.5161,82.3933,5.0456,-36.4217
-39.2630,-6.7775,43.6202,86.3557,-42.7200,30.9048,14.4382,-98.1166,52.8911,18.0118
58.3733,-64.9795,-26.0666,-78.0406,28.1650,-64.6975,-7.0826,-46.3027,-25.5796,-27.3314
-80.1110,-57.9024,-82.3911,-91.2106,-87.7720,-21.1711,36.3486,-63.4017,73.7267,-32.9202
97.3502,72.8713,-71.6353,70.0278,18.6938,76.2986,84.7528,-38.8476,25.7079,-71.8080
27.8767,-75.3049,-17.3275,43.8468,89.5779,-12.6911,63.5673,14.8369,77.9801,74.0692
-79.9353,2.9915,-45.9548,92.9207,-26.0537,3.9127,46.0057,-45.4254,-58.6121,-65.1937
17.5340,94.2832,-20.9080,16.7467,-55.4250,7.2989,97.0070,97.0090,-79.3422,73.3576
-6.3563,-61.9434,58.6000,-66.3588,-82.9136,-74.5013,-7.9897,-72.1646,82.3170,-10.7599
-38.7682,8.3993,-30.3763,20.9636,29.5255,5.5483,47.7325,-57.3061,71.6330,-26.7148
24.4178,77.4334,88.2045,-42.7303,-57.3605,-72.0778,-78.5320,-77.4187,96.0226,78.8979
-80.9269,-9.0820,-75.3271,62.9767,28.6082,-42.1627,-50.5007,-2.2290,24.2677,-66.9596
